6/30/2017	6/1/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101337	GPRS	48509.68333	3174905.622	1186.034834	1121
6/30/2017	6/1/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101337	"SMS (MO, MT)"	0	0	183.757047	1011
6/30/2017	6/1/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101337	"Voice (MOC, MTC, SS)"	1292.1	0	826.145973	489
6/30/2017	6/2/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101338	GPRS	39633.63333	3079257.969	1177.019903	658
6/30/2017	6/2/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101338	LTE	0.133333333	1.713867188	0.010496	1
6/30/2017	6/2/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101338	"SMS (MO, MT)"	0	0	114.661438	653
6/30/2017	6/2/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101338	"Voice (MOC, MTC, SS)"	1244.066667	0	763.383936	411
6/30/2017	6/2/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101339	GPRS	36704.58333	3212465.764	1227.090641	547
6/30/2017	6/2/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101339	"SMS (MO, MT)"	0	0	89.613372	525
6/30/2017	6/2/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101339	"Voice (MOC, MTC, SS)"	1023.983333	0	685.836443	324
6/30/2017	6/4/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101340	GPRS	37207.9	3565615.268	1342.075486	1065
6/30/2017	6/4/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101340	"SMS (MO, MT)"	0	0	97.023756	576
6/30/2017	6/4/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101340	"Voice (MOC, MTC, SS)"	701.15	0	498.356637	267
6/30/2017	6/5/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101341	GPRS	51674.65	5207593.397	2030.86286	1015
6/30/2017	6/5/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101341	LTE	0.566666667	2.28515625	0.021858	2
6/30/2017	6/5/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101341	"SMS (MO, MT)"	0	0	106.064779	568
6/30/2017	6/5/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101341	"Voice (MOC, MTC, SS)"	781.65	0	664.271821	269
6/30/2017	6/6/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101342	GPRS	46844.26667	2920029.965	2546.441416	959
6/30/2017	6/6/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101342	"SMS (MO, MT)"	0	0	157.259167	842
6/30/2017	6/6/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101342	"Voice (MOC, MTC, SS)"	1498.15	0	1453.150089	443
6/30/2017	6/7/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101343	GPRS	56108.43333	3299428.484	1788.569029	1035
6/30/2017	6/7/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101343	LTE	40.06666667	206.5683594	0.252056	5
6/30/2017	6/7/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101343	"SMS (MO, MT)"	0	0	180.980705	864
6/30/2017	6/7/2017	IWB51	ISR US CELLULAR	NLDLT	VODAFONE NETHERLANDS	NLDLTIWB5101343	"Voice (MOC, MTC, SS)"	1033.466667	0	834.313284	280
